icd10cm,phecode
S0522XD,870.1
S01101S,870.1
S01102S,870.1
S0522XA,870.1
S01149S,870.1
S0561XS,870.1
S0560XD,870.1
S01111D,870.1
S01129S,870.1
S0110,870.1
S01131D,870.1
S0522XS,870.1
S0520XS,870.1
S0522,870.1
S0572,870.1
S0520XA,870.1
S01121A,870.1
S01122A,870.1
S01142D,870.1
S01132,870.1
S01152A,870.1
S0570XS,870.1
S01129A,870.1
S0572XS,870.1
S0530XS,870.1
S01151,870.1
S0570,870.1
S01159S,870.1
S01101,870.1
S01122D,870.1
S01152S,870.1
S01102D,870.1
S01101A,870.1
S0532XA,870.1
S0114,870.1
S01121S,870.1
S0521XA,870.1
S0572XA,870.1
S0561XD,870.1
S01142A,870.1
S0112,870.1
S01112A,870.1
S01119S,870.1
S0532XD,870.1
S01152D,870.1
S01122,870.1
S0520,870.1
S01151A,870.1
S01141D,870.1
S01131,870.1
S01111S,870.1
S0111,870.1
S01109A,870.1
S01129D,870.1
S01132A,870.1
S01151S,870.1
S01141S,870.1
S01141,870.1
S053,870.1
S01109,870.1
S0561,870.1
S01101D,870.1
S01142S,870.1
S01149A,870.1
S01119A,870.1
S01111,870.1
S0571XA,870.1
S01119,870.1
S01139,870.1
S0560XA,870.1
S01139S,870.1
S01112S,870.1
S0520XD,870.1
S0561XA,870.1
S0571,870.1
S01132D,870.1
S0531XD,870.1
S01112D,870.1
S01142,870.1
S0530XA,870.1
S01151D,870.1
S01141A,870.1
S01152,870.1
S01109S,870.1
S01159,870.1
S01159A,870.1
S01129,870.1
S052,870.1
S01102,870.1
S0532XS,870.1
S01159D,870.1
S0521XS,870.1
S0572XD,870.1
S0560,870.1
S011,870.1
S057,870.1
S01122S,870.1
S0531,870.1
S01132S,870.1
S01112,870.1
S0521,870.1
S01119D,870.1
S0562,870.1
S01139D,870.1
S0113,870.1
S01121,870.1
S0571XS,870.1
S056,870.1
S01109D,870.1
S0531XA,870.1
S01131A,870.1
S0532,870.1
S0530,870.1
S0521XD,870.1
S0562XS,870.1
S0570XA,870.1
S0562XD,870.1
S01111A,870.1
S0562XA,870.1
S0571XD,870.1
S01149D,870.1
S0531XS,870.1
S0115,870.1
S01149,870.1
S0560XS,870.1
S01121D,870.1
S01131S,870.1
S0570XD,870.1
S01102A,870.1
S0530XD,870.1
S01139A,870.1
Y650,942
R5084,942
J9584,942
E8771,942
C783,198.2
C782,198.2
C7802,198.2
C7839,198.2
C781,198.2
C7800,198.2
C7830,198.2
C780,198.2
C7801,198.2
I446,426.32
I444,426.32
I4460,426.32
I445,426.32
I4469,426.32
I447,426.32
I650,433.1
I659,433.1
I6523,433.1
I65,433.1
I6503,433.1
I6501,433.1
I652,433.1
I6509,433.1
I6521,433.1
I658,433.1
I6502,433.1
I6529,433.1
I651,433.1
I6522,433.1
T5814XD,986
T588X3D,986
T588X2D,986
T582X4D,986
T582,986
T5804XD,986
T5811XS,986
T5802,986
T5811XA,986
T582X3S,986
T5803XS,986
T5801XS,986
T58,986
T5813,986
T588X1,986
T588X4A,986
T5892XA,986
T582X1A,986
T581,986
T5894XD,986
T5891XS,986
T5894XA,986
T580,986
T5802XS,986
T582X,986
T5892XS,986
T582X4A,986
T582X1,986
T588,986
T5892,986
T582X3A,986
T5893XA,986
T582X3,986
T588X2,986
T5804XS,986
T5813XA,986
T588X4S,986
T5812XA,986
T582X2S,986
T5894,986
T588X1A,986
T582X3D,986
T5894XS,986
T589,986
T588X1S,986
T5893XS,986
T5891XA,986
T5891XD,986
T582X1S,986
T588X4D,986
T5801XA,986
T5814XA,986
T5801XD,986
T5892XD,986
T582X2,986
T588X2S,986
T5891,986
T582X1D,986
T5893XD,986
T582X2D,986
T5812,986
T5893,986
T588X,986
T5802XA,986
T5814XS,986
T588X3,986
T582X4S,986
T588X1D,986
T5814,986
T5812XS,986
T5804XA,986
T588X3S,986
T5804,986
T588X4,986
T582X4,986
T582X2A,986
T5802XD,986
T588X3A,986
T5813XD,986
T5813XS,986
T588X2A,986
T5803XD,986
T5812XD,986
T5803,986
T5803XA,986
T5811,986
T5811XD,986
T5801,986
I87302,453
I87339,453
I87331,453
