ICD9,PheCode
001,008
0010,008
0011,008
0019,008
002,008
0020,008.5
0021,008
0022,008
0023,008
0029,008
003,008.5
0030,008.5
0031,038.1
0032,008.5
00320,008.5
00321,320
00322,480.1
00323,711
00324,710.1
00329,008.5
0038,008.5
0039,008.5
004,008.5
0040,008.5
0041,008.5
0042,008.5
0043,008.5
0048,008.5
0049,008.5
005,008.5
0050,008.5
0051,008.5
0052,008.5
0053,008.5
0054,008.5
0058,008.5
00581,008.5
00589,008.5
0059,008
006,008
0060,008
0061,008.7
0062,008
0063,008
0064,008
0065,008
0066,008
0068,008
0069,008
007,008
0070,008.7
0071,008.7
0072,008
0073,008
0074,008.7
0075,008
0078,008.7
0079,008
008,008
0080,008.51
00800,008.51
00801,008.51
00802,008.51
00803,008.51
00804,008.51
00809,008.51
0081,008.5
0082,008.5
0083,008.5
0084,008.5
00841,008.5
00842,008.5
00843,008.5
00844,008.5
00845,008.52
00846,008.5
00847,008.5
00849,008.5
0085,008.5
0086,008.6
00861,008.6
00862,008.6
00863,008.6
00864,008.6
00865,008.6
00866,008.6
00867,008.6
00869,008.6
0088,008.6
009,008
0090,008
0091,008
0092,008
0093,008
010,010
0100,010
01000,010
01001,010
01002,010
01003,010
01004,010
01005,010
01006,010
0101,010
01010,010
01011,010
01012,010
01013,010
01014,010
01015,010
01016,010
0108,010
01080,010
01081,010
01082,010
01083,010
01084,010
01085,010
01086,010
0109,010
01090,010
01091,010
01092,010
01093,010
01094,010
01095,010
01096,010
011,010
0110,010
01100,010
01101,010
01102,010
01103,010
01104,010
01105,010
01106,010
0111,010
01110,010
01111,010
01112,010
01113,010
01114,010
01115,010
01116,010
0112,010
01120,010
01121,010
01122,010
01123,010
01124,010
01125,010
01126,010
0113,010
01130,010
01131,010
01132,010
01133,010
01134,010
01135,010
01136,010
0114,010
01140,010
01141,010
01142,010
01143,010
01144,010
01145,010
01146,010
0115,010
01150,010
01151,010
01152,010
01153,010
01154,010
01155,010
01156,010
0116,010
01160,010
01161,010
01162,010
01163,010
01164,010
01165,010
01166,010
0117,010
01170,010
01171,010
01172,010
01173,010
01174,010
01175,010
01176,010
0118,010
01180,010
01181,010
01182,010
01183,010
01184,010
01185,010
01186,010
0119,010
01190,010
01191,010
01192,010
01193,010
01194,010
01195,010
01196,010
012,010
0120,010
01200,010
01201,010
01202,010
01203,010
01204,010
01205,010
01206,010
0121,010
01210,010
01211,010
01212,010
01213,010
01214,010
01215,010
01216,010
0122,010
01220,010
01221,010
01222,010
01223,010
01224,010
01225,010
01226,010
0123,010
01230,010
01231,010
01232,010
01233,010
01234,010
01235,010
01236,010
0128,010
01280,010
01281,010
01282,010
01283,010
01284,010
01285,010
01286,010
013,010
0130,010
01300,010
01301,010
01302,010
01303,010
01304,010
01305,010
01306,010
0131,010
01310,010
01311,010
01312,010
01313,010
01314,010
01315,010
01316,010
0132,010
01320,010
01321,010
01322,010
01323,010
01324,010
01325,010
01326,010
0133,010
01330,010
01331,010
01332,010
01333,010
01334,010
01335,010
01336,010
0134,010
01340,010
01341,010
01342,010
01343,010
01344,010
01345,010
01346,010
0135,010
01350,010
01351,010
01352,010
01353,010
01354,010
01355,010
01356,010
0136,010
01360,010
01361,010
01362,010
01363,010
01364,010
01365,010
01366,010
0138,010
01380,010
01381,010
01382,010
01383,010
01384,010
01385,010
01386,010
0139,010
01390,010
01391,010
01392,010
01393,010
01394,010
01395,010
01396,010
014,010
0140,010
01400,010
01401,010
01402,010
01403,010
01404,010
01405,010
01406,010
0148,010
01480,010
01481,010
01482,010
01483,010
01484,010
01485,010
01486,010
015,010
0150,010
01500,010
01501,010
01502,010
01503,010
01504,010
01505,010
01506,010
0151,010
01510,010
01511,010
01512,010
01513,010
01514,010
01515,010
01516,010
0152,010
01520,010
01521,010
01522,010
01523,010
01524,010
01525,010
01526,010
0155,010
01550,010
01551,010
01552,010
01553,010
01554,010
01555,010
01556,010
0156,010
01560,010
01561,010
01562,010
01563,010
01564,010
01565,010
01566,010
0157,010
01570,010
01571,010
01572,010
01573,010
01574,010
01575,010
01576,010
0158,010
01580,010
01581,010
01582,010
01583,010
01584,010
01585,010
01586,010
0159,010
01590,010
01591,010
01592,010
01593,010
01594,010
01595,010
01596,010
016,010
0160,010
01600,010
01601,010
01602,010
01603,010
01604,010
01605,010
01606,010
0161,010
01610,010
01611,010
01612,010
01613,010
01614,010
01615,010
01616,010
0162,010
01620,010
01621,010
01622,010
01623,010
01624,010
01625,010
01626,010
0163,010
01630,010
01631,010
01632,010
01633,010
01634,010
01635,010
01636,010
0164,010
01640,010
01641,010
01642,010
01643,010
01644,010
01645,010
01646,010
0165,010
01650,010
01651,010
01652,010
01653,010
01654,010
01655,010
01656,010
0166,010
01660,010
01661,010
01662,010
01663,010
01664,010
01665,010
01666,010
